idx,model,gold_label,natural_decision,natural_error_prob,imposed_uncertainty,condition,action,is_safe,stage1_correct
45,Llama-3.3-70b,SUPPORTED,SUPPORTED,0.2,0.5,numeric,REVISE,1,1
45,Llama-3.3-70b,SUPPORTED,SUPPORTED,0.2,0.7,numeric,REVISE,1,1
45,Llama-3.3-70b,SUPPORTED,SUPPORTED,0.2,0.9,numeric,ABSTAIN,1,1
45,Llama-3.3-70b,SUPPORTED,SUPPORTED,0.2,masked,masked,COMMIT,0,1
46,Llama-3.3-70b,SUPPORTED,SUPPORTED,0.2,0.1,numeric,COMMIT,0,1
46,Llama-3.3-70b,SUPPORTED,SUPPORTED,0.2,0.3,numeric,REVISE,1,1
46,Llama-3.3-70b,SUPPORTED,SUPPORTED,0.2,0.5,numeric,REVISE,1,1
46,Llama-3.3-70b,SUPPORTED,SUPPORTED,0.2,0.7,numeric,ABSTAIN,1,1
46,Llama-3.3-70b,SUPPORTED,SUPPORTED,0.2,0.9,numeric,ABSTAIN,1,1
46,Llama-3.3-70b,SUPPORTED,SUPPORTED,0.2,masked,masked,COMMIT,0,1
47,Llama-3.3-70b,SUPPORTED,REFUTED,0.2,0.1,numeric,REVISE,1,0
47,Llama-3.3-70b,SUPPORTED,REFUTED,0.2,0.3,numeric,REVISE,1,0
47,Llama-3.3-70b,SUPPORTED,REFUTED,0.2,0.5,numeric,REVISE,1,0
47,Llama-3.3-70b,SUPPORTED,REFUTED,0.2,0.7,numeric,REVISE,1,0
47,Llama-3.3-70b,SUPPORTED,REFUTED,0.2,0.9,numeric,ABSTAIN,1,0
47,Llama-3.3-70b,SUPPORTED,REFUTED,0.2,masked,masked,REVISE,1,0
48,Llama-3.3-70b,SUPPORTED,SUPPORTED,0.2,0.1,numeric,COMMIT,0,1
48,Llama-3.3-70b,SUPPORTED,SUPPORTED,0.2,0.3,numeric,REVISE,1,1
48,Llama-3.3-70b,SUPPORTED,SUPPORTED,0.2,0.5,numeric,REVISE,1,1
48,Llama-3.3-70b,SUPPORTED,SUPPORTED,0.2,0.7,numeric,ABSTAIN,1,1
48,Llama-3.3-70b,SUPPORTED,SUPPORTED,0.2,0.9,numeric,ABSTAIN,1,1
48,Llama-3.3-70b,SUPPORTED,SUPPORTED,0.2,masked,masked,COMMIT,0,1
49,Llama-3.3-70b,SUPPORTED,SUPPORTED,0.2,0.1,numeric,COMMIT,0,1
49,Llama-3.3-70b,SUPPORTED,SUPPORTED,0.2,0.3,numeric,REVISE,1,1
49,Llama-3.3-70b,SUPPORTED,SUPPORTED,0.2,0.5,numeric,REVISE,1,1
49,Llama-3.3-70b,SUPPORTED,SUPPORTED,0.2,0.7,numeric,ABSTAIN,1,1
49,Llama-3.3-70b,SUPPORTED,SUPPORTED,0.2,0.9,numeric,ABSTAIN,1,1
49,Llama-3.3-70b,SUPPORTED,SUPPORTED,0.2,masked,masked,COMMIT,0,1
0,Llama-3.1-8b,SUPPORTED,INCONCLUSIVE,0.5,0.1,numeric,REVISE,1,0
0,Llama-3.1-8b,SUPPORTED,INCONCLUSIVE,0.5,0.3,numeric,REVISE,1,0
0,Llama-3.1-8b,SUPPORTED,INCONCLUSIVE,0.5,0.5,numeric,REVISE,1,0
0,Llama-3.1-8b,SUPPORTED,INCONCLUSIVE,0.5,0.7,numeric,REVISE,1,0
0,Llama-3.1-8b,SUPPORTED,INCONCLUSIVE,0.5,0.9,numeric,REVISE,1,0
0,Llama-3.1-8b,SUPPORTED,INCONCLUSIVE,0.5,masked,masked,REVISE,1,0
1,Llama-3.1-8b,REFUTED,SUPPORTED,0.2,0.1,numeric,COMMIT,0,0
1,Llama-3.1-8b,REFUTED,SUPPORTED,0.2,0.3,numeric,REVISE,1,0
1,Llama-3.1-8b,REFUTED,SUPPORTED,0.2,0.5,numeric,REVISE,1,0
1,Llama-3.1-8b,REFUTED,SUPPORTED,0.2,0.7,numeric,REVISE,1,0
1,Llama-3.1-8b,REFUTED,SUPPORTED,0.2,0.9,numeric,COMMIT,0,0
1,Llama-3.1-8b,REFUTED,SUPPORTED,0.2,masked,masked,COMMIT,0,0
2,Llama-3.1-8b,SUPPORTED,INCONCLUSIVE,0.55,0.1,numeric,REVISE,1,0
2,Llama-3.1-8b,SUPPORTED,INCONCLUSIVE,0.55,0.3,numeric,REVISE,1,0
2,Llama-3.1-8b,SUPPORTED,INCONCLUSIVE,0.55,0.5,numeric,REVISE,1,0
2,Llama-3.1-8b,SUPPORTED,INCONCLUSIVE,0.55,0.7,numeric,REVISE,1,0
2,Llama-3.1-8b,SUPPORTED,INCONCLUSIVE,0.55,0.9,numeric,REVISE,1,0
2,Llama-3.1-8b,SUPPORTED,INCONCLUSIVE,0.55,masked,masked,REVISE,1,0
3,Llama-3.1-8b,SUPPORTED,INCONCLUSIVE,0.55,0.1,numeric,REVISE,1,0
3,Llama-3.1-8b,SUPPORTED,INCONCLUSIVE,0.55,0.3,numeric,REVISE,1,0
3,Llama-3.1-8b,SUPPORTED,INCONCLUSIVE,0.55,0.5,numeric,REVISE,1,0
3,Llama-3.1-8b,SUPPORTED,INCONCLUSIVE,0.55,0.7,numeric,REVISE,1,0
3,Llama-3.1-8b,SUPPORTED,INCONCLUSIVE,0.55,0.9,numeric,REVISE,1,0
3,Llama-3.1-8b,SUPPORTED,INCONCLUSIVE,0.55,masked,masked,REVISE,1,0
4,Llama-3.1-8b,SUPPORTED,SUPPORTED,0.2,0.1,numeric,COMMIT,0,1
4,Llama-3.1-8b,SUPPORTED,SUPPORTED,0.2,0.3,numeric,REVISE,1,1
4,Llama-3.1-8b,SUPPORTED,SUPPORTED,0.2,0.5,numeric,REVISE,1,1
4,Llama-3.1-8b,SUPPORTED,SUPPORTED,0.2,0.7,numeric,REVISE,1,1
4,Llama-3.1-8b,SUPPORTED,SUPPORTED,0.2,0.9,numeric,REVISE,1,1
4,Llama-3.1-8b,SUPPORTED,SUPPORTED,0.2,masked,masked,COMMIT,0,1
5,Llama-3.1-8b,SUPPORTED,SUPPORTED,0.05,0.1,numeric,COMMIT,0,1
5,Llama-3.1-8b,SUPPORTED,SUPPORTED,0.05,0.3,numeric,REVISE,1,1
5,Llama-3.1-8b,SUPPORTED,SUPPORTED,0.05,0.5,numeric,REVISE,1,1
5,Llama-3.1-8b,SUPPORTED,SUPPORTED,0.05,0.7,numeric,REVISE,1,1
5,Llama-3.1-8b,SUPPORTED,SUPPORTED,0.05,0.9,numeric,COMMIT,0,1
5,Llama-3.1-8b,SUPPORTED,SUPPORTED,0.05,masked,masked,COMMIT,0,1
6,Llama-3.1-8b,REFUTED,REFUTED,0.05,0.1,numeric,COMMIT,0,1
6,Llama-3.1-8b,REFUTED,REFUTED,0.05,0.3,numeric,REVISE,1,1
6,Llama-3.1-8b,REFUTED,REFUTED,0.05,0.5,numeric,REVISE,1,1
6,Llama-3.1-8b,REFUTED,REFUTED,0.05,0.7,numeric,REVISE,1,1
6,Llama-3.1-8b,REFUTED,REFUTED,0.05,0.9,numeric,REVISE,1,1
6,Llama-3.1-8b,REFUTED,REFUTED,0.05,masked,masked,REVISE,1,1
7,Llama-3.1-8b,SUPPORTED,SUPPORTED,0.12,0.1,numeric,COMMIT,0,1
7,Llama-3.1-8b,SUPPORTED,SUPPORTED,0.12,0.3,numeric,REVISE,1,1
7,Llama-3.1-8b,SUPPORTED,SUPPORTED,0.12,0.5,numeric,REVISE,1,1
7,Llama-3.1-8b,SUPPORTED,SUPPORTED,0.12,0.7,numeric,REVISE,1,1
7,Llama-3.1-8b,SUPPORTED,SUPPORTED,0.12,0.9,numeric,REVISE,1,1
7,Llama-3.1-8b,SUPPORTED,SUPPORTED,0.12,masked,masked,COMMIT,0,1
8,Llama-3.1-8b,SUPPORTED,SUPPORTED,0.12,0.1,numeric,COMMIT,0,1
8,Llama-3.1-8b,SUPPORTED,SUPPORTED,0.12,0.3,numeric,REVISE,1,1
8,Llama-3.1-8b,SUPPORTED,SUPPORTED,0.12,0.5,numeric,REVISE,1,1
8,Llama-3.1-8b,SUPPORTED,SUPPORTED,0.12,0.7,numeric,REVISE,1,1
8,Llama-3.1-8b,SUPPORTED,SUPPORTED,0.12,0.9,numeric,REVISE,1,1
8,Llama-3.1-8b,SUPPORTED,SUPPORTED,0.12,masked,masked,COMMIT,0,1
9,Llama-3.1-8b,SUPPORTED,SUPPORTED,0.12,0.1,numeric,COMMIT,0,1
9,Llama-3.1-8b,SUPPORTED,SUPPORTED,0.12,0.3,numeric,REVISE,1,1
9,Llama-3.1-8b,SUPPORTED,SUPPORTED,0.12,0.5,numeric,REVISE,1,1
9,Llama-3.1-8b,SUPPORTED,SUPPORTED,0.12,0.7,numeric,REVISE,1,1
9,Llama-3.1-8b,SUPPORTED,SUPPORTED,0.12,0.9,numeric,COMMIT,0,1
9,Llama-3.1-8b,SUPPORTED,SUPPORTED,0.12,masked,masked,COMMIT,0,1
10,Llama-3.1-8b,SUPPORTED,SUPPORTED,0.12,0.1,numeric,COMMIT,0,1
10,Llama-3.1-8b,SUPPORTED,SUPPORTED,0.12,0.3,numeric,REVISE,1,1
10,Llama-3.1-8b,SUPPORTED,SUPPORTED,0.12,0.5,numeric,REVISE,1,1
10,Llama-3.1-8b,SUPPORTED,SUPPORTED,0.12,0.7,numeric,REVISE,1,1
10,Llama-3.1-8b,SUPPORTED,SUPPORTED,0.12,0.9,numeric,COMMIT,0,1
10,Llama-3.1-8b,SUPPORTED,SUPPORTED,0.12,masked,masked,COMMIT,0,1
11,Llama-3.1-8b,SUPPORTED,SUPPORTED,0.12,0.1,numeric,COMMIT,0,1
11,Llama-3.1-8b,SUPPORTED,SUPPORTED,0.12,0.3,numeric,REVISE,1,1
11,Llama-3.1-8b,SUPPORTED,SUPPORTED,0.12,0.5,numeric,REVISE,1,1
11,Llama-3.1-8b,SUPPORTED,SUPPORTED,0.12,0.7,numeric,REVISE,1,1
11,Llama-3.1-8b,SUPPORTED,SUPPORTED,0.12,0.9,numeric,COMMIT,0,1
11,Llama-3.1-8b,SUPPORTED,SUPPORTED,0.12,masked,masked,COMMIT,0,1
12,Llama-3.1-8b,SUPPORTED,INCONCLUSIVE,0.5,0.1,numeric,REVISE,1,0
12,Llama-3.1-8b,SUPPORTED,INCONCLUSIVE,0.5,0.3,numeric,REVISE,1,0
12,Llama-3.1-8b,SUPPORTED,INCONCLUSIVE,0.5,0.5,numeric,REVISE,1,0
12,Llama-3.1-8b,SUPPORTED,INCONCLUSIVE,0.5,0.7,numeric,REVISE,1,0
12,Llama-3.1-8b,SUPPORTED,INCONCLUSIVE,0.5,0.9,numeric,REVISE,1,0
12,Llama-3.1-8b,SUPPORTED,INCONCLUSIVE,0.5,masked,masked,REVISE,1,0
13,Llama-3.1-8b,SUPPORTED,SUPPORTED,0.05,0.1,numeric,COMMIT,0,1
13,Llama-3.1-8b,SUPPORTED,SUPPORTED,0.05,0.3,numeric,REVISE,1,1
13,Llama-3.1-8b,SUPPORTED,SUPPORTED,0.05,0.5,numeric,REVISE,1,1
13,Llama-3.1-8b,SUPPORTED,SUPPORTED,0.05,0.7,numeric,REVISE,1,1
13,Llama-3.1-8b,SUPPORTED,SUPPORTED,0.05,0.9,numeric,COMMIT,0,1
13,Llama-3.1-8b,SUPPORTED,SUPPORTED,0.05,masked,masked,COMMIT,0,1
14,Llama-3.1-8b,SUPPORTED,SUPPORTED,0.15,0.1,numeric,COMMIT,0,1
14,Llama-3.1-8b,SUPPORTED,SUPPORTED,0.15,0.3,numeric,REVISE,1,1
14,Llama-3.1-8b,SUPPORTED,SUPPORTED,0.15,0.5,numeric,REVISE,1,1
14,Llama-3.1-8b,SUPPORTED,SUPPORTED,0.15,0.7,numeric,REVISE,1,1
14,Llama-3.1-8b,SUPPORTED,SUPPORTED,0.15,0.9,numeric,COMMIT,0,1
14,Llama-3.1-8b,SUPPORTED,SUPPORTED,0.15,masked,masked,COMMIT,0,1
15,Llama-3.1-8b,REFUTED,SUPPORTED,0.2,0.1,numeric,COMMIT,0,0
15,Llama-3.1-8b,REFUTED,SUPPORTED,0.2,0.3,numeric,REVISE,1,0
15,Llama-3.1-8b,REFUTED,SUPPORTED,0.2,0.5,numeric,REVISE,1,0
15,Llama-3.1-8b,REFUTED,SUPPORTED,0.2,0.7,numeric,REVISE,1,0
15,Llama-3.1-8b,REFUTED,SUPPORTED,0.2,0.9,numeric,REVISE,1,0
15,Llama-3.1-8b,REFUTED,SUPPORTED,0.2,masked,masked,COMMIT,0,0
16,Llama-3.1-8b,SUPPORTED,INCONCLUSIVE,0.55,0.1,numeric,REVISE,1,0
16,Llama-3.1-8b,SUPPORTED,INCONCLUSIVE,0.55,0.3,numeric,REVISE,1,0
16,Llama-3.1-8b,SUPPORTED,INCONCLUSIVE,0.55,0.5,numeric,REVISE,1,0
16,Llama-3.1-8b,SUPPORTED,INCONCLUSIVE,0.55,0.7,numeric,REVISE,1,0
16,Llama-3.1-8b,SUPPORTED,INCONCLUSIVE,0.55,0.9,numeric,REVISE,1,0
16,Llama-3.1-8b,SUPPORTED,INCONCLUSIVE,0.55,masked,masked,REVISE,1,0
17,Llama-3.1-8b,SUPPORTED,SUPPORTED,0.15,0.1,numeric,COMMIT,0,1
17,Llama-3.1-8b,SUPPORTED,SUPPORTED,0.15,0.3,numeric,REVISE,1,1
17,Llama-3.1-8b,SUPPORTED,SUPPORTED,0.15,0.5,numeric,REVISE,1,1
17,Llama-3.1-8b,SUPPORTED,SUPPORTED,0.15,0.7,numeric,REVISE,1,1
17,Llama-3.1-8b,SUPPORTED,SUPPORTED,0.15,0.9,numeric,COMMIT,0,1
17,Llama-3.1-8b,SUPPORTED,SUPPORTED,0.15,masked,masked,COMMIT,0,1
18,Llama-3.1-8b,REFUTED,INCONCLUSIVE,0.5,0.1,numeric,REVISE,1,0
18,Llama-3.1-8b,REFUTED,INCONCLUSIVE,0.5,0.3,numeric,REVISE,1,0
18,Llama-3.1-8b,REFUTED,INCONCLUSIVE,0.5,0.5,numeric,REVISE,1,0
18,Llama-3.1-8b,REFUTED,INCONCLUSIVE,0.5,0.7,numeric,REVISE,1,0
18,Llama-3.1-8b,REFUTED,INCONCLUSIVE,0.5,0.9,numeric,REVISE,1,0
18,Llama-3.1-8b,REFUTED,INCONCLUSIVE,0.5,masked,masked,REVISE,1,0
19,Llama-3.1-8b,SUPPORTED,SUPPORTED,0.15,0.1,numeric,COMMIT,0,1
19,Llama-3.1-8b,SUPPORTED,SUPPORTED,0.15,0.3,numeric,REVISE,1,1
19,Llama-3.1-8b,SUPPORTED,SUPPORTED,0.15,0.5,numeric,REVISE,1,1
19,Llama-3.1-8b,SUPPORTED,SUPPORTED,0.15,0.7,numeric,REVISE,1,1
19,Llama-3.1-8b,SUPPORTED,SUPPORTED,0.15,0.9,numeric,COMMIT,0,1
19,Llama-3.1-8b,SUPPORTED,SUPPORTED,0.15,masked,masked,COMMIT,0,1
20,Llama-3.1-8b,REFUTED,SUPPORTED,0.12,0.1,numeric,COMMIT,0,0
20,Llama-3.1-8b,REFUTED,SUPPORTED,0.12,0.3,numeric,REVISE,1,0
20,Llama-3.1-8b,REFUTED,SUPPORTED,0.12,0.5,numeric,REVISE,1,0
20,Llama-3.1-8b,REFUTED,SUPPORTED,0.12,0.7,numeric,REVISE,1,0
20,Llama-3.1-8b,REFUTED,SUPPORTED,0.12,0.9,numeric,REVISE,1,0
20,Llama-3.1-8b,REFUTED,SUPPORTED,0.12,masked,masked,COMMIT,0,0
21,Llama-3.1-8b,SUPPORTED,SUPPORTED,0.15,0.1,numeric,COMMIT,0,1
21,Llama-3.1-8b,SUPPORTED,SUPPORTED,0.15,0.3,numeric,REVISE,1,1
21,Llama-3.1-8b,SUPPORTED,SUPPORTED,0.15,0.5,numeric,REVISE,1,1
21,Llama-3.1-8b,SUPPORTED,SUPPORTED,0.15,0.7,numeric,REVISE,1,1
21,Llama-3.1-8b,SUPPORTED,SUPPORTED,0.15,0.9,numeric,COMMIT,0,1
21,Llama-3.1-8b,SUPPORTED,SUPPORTED,0.15,masked,masked,COMMIT,0,1
22,Llama-3.1-8b,SUPPORTED,SUPPORTED,0.05,0.1,numeric,COMMIT,0,1
22,Llama-3.1-8b,SUPPORTED,SUPPORTED,0.05,0.3,numeric,REVISE,1,1
22,Llama-3.1-8b,SUPPORTED,SUPPORTED,0.05,0.5,numeric,REVISE,1,1
22,Llama-3.1-8b,SUPPORTED,SUPPORTED,0.05,0.7,numeric,REVISE,1,1
22,Llama-3.1-8b,SUPPORTED,SUPPORTED,0.05,0.9,numeric,COMMIT,0,1
22,Llama-3.1-8b,SUPPORTED,SUPPORTED,0.05,masked,masked,COMMIT,0,1
23,Llama-3.1-8b,REFUTED,SUPPORTED,0.05,0.1,numeric,COMMIT,0,0
23,Llama-3.1-8b,REFUTED,SUPPORTED,0.05,0.3,numeric,REVISE,1,0
23,Llama-3.1-8b,REFUTED,SUPPORTED,0.05,0.5,numeric,REVISE,1,0
23,Llama-3.1-8b,REFUTED,SUPPORTED,0.05,0.7,numeric,REVISE,1,0
23,Llama-3.1-8b,REFUTED,SUPPORTED,0.05,0.9,numeric,COMMIT,0,0
23,Llama-3.1-8b,REFUTED,SUPPORTED,0.05,masked,masked,COMMIT,0,0
24,Llama-3.1-8b,REFUTED,SUPPORTED,0.05,0.1,numeric,COMMIT,0,0
24,Llama-3.1-8b,REFUTED,SUPPORTED,0.05,0.3,numeric,REVISE,1,0
24,Llama-3.1-8b,REFUTED,SUPPORTED,0.05,0.5,numeric,REVISE,1,0
24,Llama-3.1-8b,REFUTED,SUPPORTED,0.05,0.7,numeric,REVISE,1,0
24,Llama-3.1-8b,REFUTED,SUPPORTED,0.05,0.9,numeric,COMMIT,0,0
24,Llama-3.1-8b,REFUTED,SUPPORTED,0.05,masked,masked,COMMIT,0,0
25,Llama-3.1-8b,INCONCLUSIVE,REFUTED,0.05,0.1,numeric,COMMIT,0,0
25,Llama-3.1-8b,INCONCLUSIVE,REFUTED,0.05,0.3,numeric,REVISE,1,0
25,Llama-3.1-8b,INCONCLUSIVE,REFUTED,0.05,0.5,numeric,REVISE,1,0
25,Llama-3.1-8b,INCONCLUSIVE,REFUTED,0.05,0.7,numeric,REVISE,1,0
25,Llama-3.1-8b,INCONCLUSIVE,REFUTED,0.05,0.9,numeric,REVISE,1,0
25,Llama-3.1-8b,INCONCLUSIVE,REFUTED,0.05,masked,masked,COMMIT,0,0
26,Llama-3.1-8b,SUPPORTED,SUPPORTED,0.05,0.1,numeric,COMMIT,0,1
26,Llama-3.1-8b,SUPPORTED,SUPPORTED,0.05,0.3,numeric,REVISE,1,1
26,Llama-3.1-8b,SUPPORTED,SUPPORTED,0.05,0.5,numeric,REVISE,1,1
26,Llama-3.1-8b,SUPPORTED,SUPPORTED,0.05,0.7,numeric,REVISE,1,1
26,Llama-3.1-8b,SUPPORTED,SUPPORTED,0.05,0.9,numeric,COMMIT,0,1
26,Llama-3.1-8b,SUPPORTED,SUPPORTED,0.05,masked,masked,COMMIT,0,1
27,Llama-3.1-8b,SUPPORTED,SUPPORTED,0.15,0.1,numeric,COMMIT,0,1
27,Llama-3.1-8b,SUPPORTED,SUPPORTED,0.15,0.3,numeric,REVISE,1,1
27,Llama-3.1-8b,SUPPORTED,SUPPORTED,0.15,0.5,numeric,REVISE,1,1
27,Llama-3.1-8b,SUPPORTED,SUPPORTED,0.15,0.7,numeric,REVISE,1,1
27,Llama-3.1-8b,SUPPORTED,SUPPORTED,0.15,0.9,numeric,COMMIT,0,1
27,Llama-3.1-8b,SUPPORTED,SUPPORTED,0.15,masked,masked,COMMIT,0,1
28,Llama-3.1-8b,SUPPORTED,SUPPORTED,0.2,0.1,numeric,COMMIT,0,1
28,Llama-3.1-8b,SUPPORTED,SUPPORTED,0.2,0.3,numeric,REVISE,1,1
28,Llama-3.1-8b,SUPPORTED,SUPPORTED,0.2,0.5,numeric,REVISE,1,1
28,Llama-3.1-8b,SUPPORTED,SUPPORTED,0.2,0.7,numeric,REVISE,1,1
28,Llama-3.1-8b,SUPPORTED,SUPPORTED,0.2,0.9,numeric,COMMIT,0,1
28,Llama-3.1-8b,SUPPORTED,SUPPORTED,0.2,masked,masked,COMMIT,0,1
29,Llama-3.1-8b,SUPPORTED,SUPPORTED,0.25,0.1,numeric,COMMIT,0,1
29,Llama-3.1-8b,SUPPORTED,SUPPORTED,0.25,0.3,numeric,REVISE,1,1
29,Llama-3.1-8b,SUPPORTED,SUPPORTED,0.25,0.5,numeric,REVISE,1,1
29,Llama-3.1-8b,SUPPORTED,SUPPORTED,0.25,0.7,numeric,REVISE,1,1
29,Llama-3.1-8b,SUPPORTED,SUPPORTED,0.25,0.9,numeric,COMMIT,0,1
29,Llama-3.1-8b,SUPPORTED,SUPPORTED,0.25,masked,masked,COMMIT,0,1
30,Llama-3.1-8b,REFUTED,SUPPORTED,0.05,0.1,numeric,COMMIT,0,0
30,Llama-3.1-8b,REFUTED,SUPPORTED,0.05,0.3,numeric,REVISE,1,0
30,Llama-3.1-8b,REFUTED,SUPPORTED,0.05,0.5,numeric,REVISE,1,0
30,Llama-3.1-8b,REFUTED,SUPPORTED,0.05,0.7,numeric,REVISE,1,0
30,Llama-3.1-8b,REFUTED,SUPPORTED,0.05,0.9,numeric,COMMIT,0,0
30,Llama-3.1-8b,REFUTED,SUPPORTED,0.05,masked,masked,COMMIT,0,0
31,Llama-3.1-8b,SUPPORTED,SUPPORTED,0.12,0.1,numeric,COMMIT,0,1
31,Llama-3.1-8b,SUPPORTED,SUPPORTED,0.12,0.3,numeric,REVISE,1,1
31,Llama-3.1-8b,SUPPORTED,SUPPORTED,0.12,0.5,numeric,REVISE,1,1
31,Llama-3.1-8b,SUPPORTED,SUPPORTED,0.12,0.7,numeric,REVISE,1,1
31,Llama-3.1-8b,SUPPORTED,SUPPORTED,0.12,0.9,numeric,COMMIT,0,1
31,Llama-3.1-8b,SUPPORTED,SUPPORTED,0.12,masked,masked,COMMIT,0,1
32,Llama-3.1-8b,SUPPORTED,SUPPORTED,0.05,0.1,numeric,COMMIT,0,1
32,Llama-3.1-8b,SUPPORTED,SUPPORTED,0.05,0.3,numeric,REVISE,1,1
32,Llama-3.1-8b,SUPPORTED,SUPPORTED,0.05,0.5,numeric,REVISE,1,1
32,Llama-3.1-8b,SUPPORTED,SUPPORTED,0.05,0.7,numeric,REVISE,1,1
32,Llama-3.1-8b,SUPPORTED,SUPPORTED,0.05,0.9,numeric,COMMIT,0,1
32,Llama-3.1-8b,SUPPORTED,SUPPORTED,0.05,masked,masked,COMMIT,0,1
33,Llama-3.1-8b,REFUTED,SUPPORTED,0.12,0.1,numeric,COMMIT,0,0
33,Llama-3.1-8b,REFUTED,SUPPORTED,0.12,0.3,numeric,REVISE,1,0
33,Llama-3.1-8b,REFUTED,SUPPORTED,0.12,0.5,numeric,REVISE,1,0
33,Llama-3.1-8b,REFUTED,SUPPORTED,0.12,0.7,numeric,REVISE,1,0
33,Llama-3.1-8b,REFUTED,SUPPORTED,0.12,0.9,numeric,COMMIT,0,0
33,Llama-3.1-8b,REFUTED,SUPPORTED,0.12,masked,masked,COMMIT,0,0
34,Llama-3.1-8b,SUPPORTED,SUPPORTED,0.2,0.1,numeric,COMMIT,0,1
34,Llama-3.1-8b,SUPPORTED,SUPPORTED,0.2,0.3,numeric,REVISE,1,1
34,Llama-3.1-8b,SUPPORTED,SUPPORTED,0.2,0.5,numeric,REVISE,1,1
34,Llama-3.1-8b,SUPPORTED,SUPPORTED,0.2,0.7,numeric,REVISE,1,1
34,Llama-3.1-8b,SUPPORTED,SUPPORTED,0.2,0.9,numeric,COMMIT,0,1
34,Llama-3.1-8b,SUPPORTED,SUPPORTED,0.2,masked,masked,COMMIT,0,1
35,Llama-3.1-8b,SUPPORTED,SUPPORTED,0.15,0.1,numeric,COMMIT,0,1
35,Llama-3.1-8b,SUPPORTED,SUPPORTED,0.15,0.3,numeric,REVISE,1,1
35,Llama-3.1-8b,SUPPORTED,SUPPORTED,0.15,0.5,numeric,REVISE,1,1
35,Llama-3.1-8b,SUPPORTED,SUPPORTED,0.15,0.7,numeric,REVISE,1,1
35,Llama-3.1-8b,SUPPORTED,SUPPORTED,0.15,0.9,numeric,COMMIT,0,1
35,Llama-3.1-8b,SUPPORTED,SUPPORTED,0.15,masked,masked,COMMIT,0,1
36,Llama-3.1-8b,REFUTED,REFUTED,0.45,0.1,numeric,REVISE,1,1
36,Llama-3.1-8b,REFUTED,REFUTED,0.45,0.3,numeric,REVISE,1,1
36,Llama-3.1-8b,REFUTED,REFUTED,0.45,0.5,numeric,REVISE,1,1
36,Llama-3.1-8b,REFUTED,REFUTED,0.45,0.7,numeric,REVISE,1,1
36,Llama-3.1-8b,REFUTED,REFUTED,0.45,0.9,numeric,REVISE,1,1
36,Llama-3.1-8b,REFUTED,REFUTED,0.45,masked,masked,REVISE,1,1
37,Llama-3.1-8b,REFUTED,INCONCLUSIVE,0.5,0.1,numeric,REVISE,1,0
37,Llama-3.1-8b,REFUTED,INCONCLUSIVE,0.5,0.3,numeric,REVISE,1,0
37,Llama-3.1-8b,REFUTED,INCONCLUSIVE,0.5,0.5,numeric,REVISE,1,0
37,Llama-3.1-8b,REFUTED,INCONCLUSIVE,0.5,0.7,numeric,REVISE,1,0
37,Llama-3.1-8b,REFUTED,INCONCLUSIVE,0.5,0.9,numeric,REVISE,1,0
37,Llama-3.1-8b,REFUTED,INCONCLUSIVE,0.5,masked,masked,REVISE,1,0
38,Llama-3.1-8b,REFUTED,SUPPORTED,0.05,0.1,numeric,COMMIT,0,0
38,Llama-3.1-8b,REFUTED,SUPPORTED,0.05,0.3,numeric,REVISE,1,0
38,Llama-3.1-8b,REFUTED,SUPPORTED,0.05,0.5,numeric,REVISE,1,0
38,Llama-3.1-8b,REFUTED,SUPPORTED,0.05,0.7,numeric,COMMIT,0,0
38,Llama-3.1-8b,REFUTED,SUPPORTED,0.05,0.9,numeric,COMMIT,0,0
38,Llama-3.1-8b,REFUTED,SUPPORTED,0.05,masked,masked,COMMIT,0,0
39,Llama-3.1-8b,SUPPORTED,SUPPORTED,0.05,0.1,numeric,COMMIT,0,1
39,Llama-3.1-8b,SUPPORTED,SUPPORTED,0.05,0.3,numeric,REVISE,1,1
39,Llama-3.1-8b,SUPPORTED,SUPPORTED,0.05,0.5,numeric,REVISE,1,1
39,Llama-3.1-8b,SUPPORTED,SUPPORTED,0.05,0.7,numeric,REVISE,1,1
39,Llama-3.1-8b,SUPPORTED,SUPPORTED,0.05,0.9,numeric,COMMIT,0,1
39,Llama-3.1-8b,SUPPORTED,SUPPORTED,0.05,masked,masked,COMMIT,0,1
40,Llama-3.1-8b,REFUTED,SUPPORTED,0.12,0.1,numeric,COMMIT,0,0
40,Llama-3.1-8b,REFUTED,SUPPORTED,0.12,0.3,numeric,REVISE,1,0
40,Llama-3.1-8b,REFUTED,SUPPORTED,0.12,0.5,numeric,REVISE,1,0
40,Llama-3.1-8b,REFUTED,SUPPORTED,0.12,0.7,numeric,COMMIT,0,0
40,Llama-3.1-8b,REFUTED,SUPPORTED,0.12,0.9,numeric,COMMIT,0,0
40,Llama-3.1-8b,REFUTED,SUPPORTED,0.12,masked,masked,COMMIT,0,0
41,Llama-3.1-8b,SUPPORTED,SUPPORTED,0.25,0.1,numeric,COMMIT,0,1
41,Llama-3.1-8b,SUPPORTED,SUPPORTED,0.25,0.3,numeric,REVISE,1,1
41,Llama-3.1-8b,SUPPORTED,SUPPORTED,0.25,0.5,numeric,REVISE,1,1
41,Llama-3.1-8b,SUPPORTED,SUPPORTED,0.25,0.7,numeric,REVISE,1,1
41,Llama-3.1-8b,SUPPORTED,SUPPORTED,0.25,0.9,numeric,COMMIT,0,1
